gene	p
MMP12	1.25e-30
COL11A1	6.38e-34
GREM1	1.46e-30
KRT6A	7.12e-14
CXCL13	8.32e-18
MMP1	2.51e-17
TOP2A	9.18e-37
GJB2	1.42e-24
AKR1B10	8.42e-15
DLGAP5	7.5e-36
CDC20	1.06e-38
TTK	7.04e-34
TPX2	9.25e-39
RRM2	3.28e-31
GINS1	7.71e-39
PBK	6.91e-31
UBE2C	7.83e-38
NUF2	2.8e-37
ANLN	3.3e-33
MELK	1.32e-36
UBE2T	4.94e-43
KIF4A	2.4e-41
CDKN3	7.69e-35
COL10A1	6.89e-26
CEP55	6.34e-34
DSP	1.76e-31
BUB1B	2.03e-35
CCNB1	6.14e-37
S100A2	5.52e-12
UHRF1	8.37e-38
ADAMDEC1	1.81e-15
SPP1	4.3e-32
PRC1	2.16e-36
SCG5	3.88e-22
NDC80	1.9e-29
TMPRSS4	3.81e-24
NUSAP1	6.75e-35
FOXM1	2.41e-34
SULF1	1.41e-28
GJB6	5.02e-12
NMU	8.63e-19
KRT5	5.71e-08
GPR87	9.09e-15
TRIP13	6.23e-31
KRT6B	1.59e-12
HS6ST2	1.27e-17
KIF20A	1.76e-31
HJURP	5.75e-40
ZWINT	8.57e-32
PSAT1	2.76e-33
KIF11	1.24e-31
SLC6A8	6.63e-22
SPRR1B	1.14e-09
HMGB3	9.6e-25
HMMR	1.08e-30
KIF2C	4.22e-37
KIF14	3.28e-34
FAM83D	2.07e-25
EZH2	7.38e-29
NTS	5.6e-07
MAD2L1	7.42e-33
NCAPG	1.65e-34
KRT15	4.42e-11
AURKA	7.01e-37
DTL	8.18e-27
KRT14	1.79e-08
RAD51AP1	2.52e-30
RMI2	9.54e-30
RFC4	1.87e-31
CDK1	6.12e-32
TUBB2B	5.53e-14
KISS1R	1.05e-16
THBS2	9.17e-19
MCM2	4.25e-33
KIF15	7.42e-33
PCP4	3.55e-11
EGLN3	8.82e-23
GPX2	3.15e-16
CRABP2	1.28e-18
CDCA5	3.43e-35
MMP9	3.05e-16
IGFBP3	3.87e-22
SPAG5	9.64e-33
CCNA2	3.34e-31
UBE2S	5.47e-29
NEK2	3.81e-40
HOXC6	6.4e-16
PTTG1	1.87e-30
MDK	2.06e-24
MKI67	5.49e-36
SLC2A1	1.71e-25
TWIST1	2.04e-16
KIF18B	2.08e-33
STIL	1.84e-35
OIP5	1.67e-30
CDC45	1.76e-31
KIAA0101	1.13e-31
PTHLH	2.08e-11
CDCA7	3.7e-32
COL3A1	2.58e-18
CENPE	3.58e-31
MLLT11	7.13e-15
ARNTL2	8.49e-21
DSG3	2.51e-09
SPRR3	2.03e-08
DEPDC1	1.64e-30
PAFAH1B3	3.87e-40
CDC6	1.05e-31
GPT2	1.12e-29
COL5A2	1.49e-18
PLPP2	5.95e-23
CDCA8	1.14e-38
PRAME	9.51e-17
E2F8	4.68e-26
RPL39L	2.06e-23
SPC25	3.06e-27
GGH	1.43e-23
ATAD2	1.07e-30
EXO1	8.82e-32
BIRC5	4.02e-38
GALNT14	2e-22
PFN2	2.85e-25
COCH	1.13e-15
PLOD2	5.69e-22
RACGAP1	1.64e-30
NQO1	8.19e-15
TK1	9.43e-30
TYMS	3.1e-26
HIST1H2BD	1.54e-30
FAP	1.25e-16
IGF2BP3	1.58e-26
NME1	1.26e-36
NCAPH	1.14e-32
COL1A1	4.63e-22
SPRR1A	4.37e-09
CKS1B	1.2e-35
SGO2	4.72e-25
CST1	4.15e-12
KRT16	6.24e-11
SERPINB5	1.08e-15
UGT8	1.55e-19
DSG2	6.9e-22
FANCI	2.55e-30
CENPK	5.27e-26
CENPW	4.22e-22
DAPL1	5.39e-07
CDH3	1.45e-14
PPAT	3.84e-29
RNASEH2A	2.8e-32
IGFBP2	1.91e-12
trim59	1.02e-24
GMNN	8.12e-33
AIM2	5.07e-12
APOBEC3B	2.79e-12
SLC7A5	2.34e-18
CABYR	1.87e-21
CLDN10	1.37e-09
KIF23	1.14e-27
HILPDA	8.29e-14
KNTC1	5.56e-30
SPAG4	3.38e-15
depdc1b	9.54e-30
CHEK1	2.27e-31
PTPRZ1	7.02e-07
MMP10	6.12e-07
CLCA2	8.98e-07
MMP13	1.19e-09
IGSF9	1.03e-24
KRT13	6.38e-06
NCAPG2	1.16e-29
FERMT1	1.06e-22
MCM4	2.56e-35
CKS2	3.53e-20
MMP3	9.27e-10
POLQ	8.16e-31
SLC7A11	2.44e-12
DSC3	1.22e-08
SHCBP1	3.18e-19
POLE2	3.58e-29
BCL11A	6.25e-17
CXCL14	5.09e-07
FAM83A	1.85e-16
MYBL2	2.15e-30
CTSV	3.17e-21
pkp1	1.12e-12
FEN1	3.5e-32
UCHL1	4.78e-19
LYPD3	7.29e-13
SPOCK1	6.18e-12
CDKN2A	2.58e-16
EIF4EBP1	2.64e-25
FGB	1.07e-05
MND1	3.55e-28
GCNT3	7.74e-11
MIF	2.78e-37
PYCR1	1.62e-34
PAICS	1.38e-32
LY6D	8.98e-08
HORMAD1	2.34e-10
slc12a8	4.4e-21
SRD5A1	1.39e-30
OCIAD2	1.09e-28
ASF1B	1.38e-29
ERO1A	1.5e-22
Hist1h2bh	8.28e-29
ighm	2.31e-09
RASSF6	3.71e-18
CENPF	8.69e-28
KPNA2	7.69e-32
S100A7	8.03e-06
TMPRSS11E	6.18e-11
BLM	2.2e-29
ORC6	1.15e-27
P3H4	2.36e-28
RAD54B	1.06e-24
DONSON	2.3e-26
ASPM	1.07e-28
TNNT1	1.2e-11
CDCA2	2.41e-29
SAPCD2	7.42e-33
COL5A1	1.67e-13
pcsk1	2.78e-06
NCAPD2	8.61e-28
PMAIP1	9.04e-14
MCM7	2.65e-28
C11orf80	5.09e-27
SCG2	3.89e-07
FAM60A	2.35e-29
SERPINB3	7.51e-05
PAEP	1.11e-06
BORA	2.34e-24
rhov	1.7e-15
cyp24a1	9.5e-09
CENPM	2.96e-24
RGS17	7.05e-14
ADAM12	5.21e-17
CCNE2	1.23e-19
MFAP2	1.6e-14
MARCKSL1	2.01e-18
GPI	2.99e-27
DDIT4	1.33e-12
CP	9.98e-07
PLK1	1.46e-35
Sprr2b	4.47e-08
ESPL1	1.9e-29
FOXD1	2.94e-12
GCLC	9.59e-16
ZIC2	2.5e-14
RPP40	4.56e-24
HES6	6.01e-13
MAP7D2	2.45e-11
NUP155	3.91e-24
HOXA1	6.07e-15
ZWILCH	2.12e-25
C1ORF106	2.57e-13
tff1	4.06e-06
CDT1	1.83e-30
PDK1	2.49e-20
TCN1	2.71e-05
HOXB7	2.67e-16
DBF4	3.28e-23
PLEK2	2.38e-18
MXRA5	7.45e-12
MB	3.12e-12
PI3	2.16e-06
BAIAP2L1	1.15e-19
HIST1H2AE	7.63e-18
CD24	3.29e-13
GGCT	4.68e-28
ACTL6A	2.52e-26
COL1A2	4.44e-14
RAD54L	6.03e-29
PLPP4	4.65e-15
BIK	1.74e-14
CENPU	2.77e-21
SYT1	1.91e-12
SHMT2	5.57e-28
NPTX2	1.02e-07
CHGB	2.94e-07
EFNA4	3.47e-26
POSTN	2.04e-16
INA	4.9e-09
Hist1h4j	6.47e-23
GAPDH	1.39e-39
CIART	1.02e-14
IL20RB	2.73e-08
HRASLS	3.28e-14
HELLS	6.07e-24
ZNF367	9.32e-16
AURKB	7.49e-33
fgl1	1.94e-05
CDCA4	8.55e-25
TENM4	1.09e-17
ESRP1	7.57e-16
KNSTRN	3.84e-21
PPP1R14B	3.22e-29
CLGN	2.26e-09
EYA2	2.7e-09
PRIM1	8.12e-21
FIGNL1	1.79e-24
SPDL1	1.41e-26
wasf1	1.65e-18
KIFC1	5.07e-33
DNMT3B	1.77e-23
FHL2	2.59e-11
calb1	5.77e-06
MCM10	8.09e-29
PCNA	2.15e-24
NEFL	2.84e-07
TMEM14A	6.15e-24
FAM83B	9.22e-15
MRPS17	8.06e-24
AKR1C1	2.89e-07
POLR2H	4.77e-30
GJB3	8.53e-17
CPS1	0.0001742
C2CD4A	3.63e-08
EPN3	3.04e-23
BRIP1	8.13e-27
INSM1	9.97e-06
IGLL5	1.94e-05
FBXO32	1.84e-27
PTGFRN	4.01e-17
UNG	9.87e-24
SERPINB4	7.94e-06
NUDT1	6.14e-22
THY1	9.21e-11
CAPNS2	4.15e-07
S100P	0.0010123
SOX2	4.49e-13
PITX2	1.43e-08
CA12	6.97e-08
TUBG1	2.88e-26
SIX1	1.72e-15
FBXO45	1.45e-18
PLAU	3.91e-08
LMNB1	2.33e-14
FAT2	1.55e-08
gbp6	1.78e-07
PCDH19	7.93e-07
PITX1	5.19e-15
IRF6	2.36e-12
LTF	0.0014858
CENPL	6.21e-30
AOC1	4.51e-07
COL7A1	1.92e-13
ECT2	1.07e-22
FCRL5	4.3e-09
COL17A1	2.59e-10
PRDX4	1.08e-21
IL4I1	4.46e-11
MIS18A	5.29e-26
BNIP3	6.18e-17
SYNGR3	1.41e-14
HOXC10	1.11e-11
WISP1	6.1e-12
SEMA4B	1.11e-12
FANCG	1.17e-21
TOX3	0.00022633
SLC16A14	4.21e-06
NPM3	9.1e-19
SUSD4	3.47e-12
FSCN1	8.24e-15
PNPT1	2.6e-23
DEPDC7	3.33e-13
FZD10	1.52e-05
CA9	2.46e-14
HIST1H1C	4.53e-12
TCF19	2.64e-18
BPIFA1	0.023002
NDC1	1.18e-24
RFC5	9.13e-23
CXCL9	0.0011209
TUFT1	5.1e-13
KIF18A	4.37e-16
MSH2	3.05e-16
AUNIP	2.22e-33
ALDH18A1	1.6e-26
VTCN1	3.56e-08
coa6	1.47e-25
SBK1	1.97e-17
MZB1	8.6e-05
KRT80	8.32e-12
GJB5	1.87e-12
PSRC1	3.04e-16
Ly6k	2.08e-15
SOX4	5.88e-21
AHCY	3.08e-24
CD79A	2.96e-08
CHAC2	7.94e-13
RNF183	9.21e-09
Lage3	4.55e-25
FHOD3	7.05e-09
XDH	8.83e-10
SLC39A4	1.05e-15
HOXA10	1.23e-15
ASCL1	1.68e-05
FBXO5	1.6e-18
TNFRSF21	3.17e-14
SAC3D1	5.86e-16
ALYREF	1.85e-16
TIPIN	2.67e-16
LAPTM4B	4.38e-14
GPX8	2.61e-11
CHEK2	4.81e-21
MAGEA1	4.38e-07
SORD	7.42e-24
FAM83F	8.84e-15
NET1	4.42e-14
KDELR3	2.63e-13
AHNAK2	6.01e-11
DDIAS	1.16e-13
STYK1	2.97e-14
HLTF	3.37e-16
GNG4	1.12e-11
NONO	1.52e-18
TMEM117	2.7e-13
DIO2	7.04e-16
MRPL13	7.12e-25
IGLV1-44	1.77e-05
CENPH	4.14e-20
WDYHV1	2.84e-24
RMI1	4.31e-18
HS3ST3A1	3.08e-12
TACC3	8.17e-19
TPI1	4e-27
MMP11	9.26e-17
EXOSC5	7.77e-24
TPD52	9.75e-17
CDC7	1.48e-10
nfe2l3	5.92e-13
NIPSNAP1	4e-28
ELOVL4	1.05e-11
TMPRSS11D	9.19e-08
CALCA	0.0014806
hoxc9	9.57e-13
CCNE1	9.73e-28
SNRNP25	2.48e-25
ENO2	3.6e-13
ABCA12	1.06e-12
HMGA1	1.98e-29
Hist1h2be	5.89e-19
NAXE	2.68e-27
MRPL15	1.22e-24
MRPL3	2.45e-30
SALL4	9.11e-19
RPL22L1	4.31e-15
LYPD1	1.6e-12
GALNT7	4.58e-12
SMC2	1.04e-17
PTS	1.14e-22
SELENOI	1.95e-26
EEF1A2	4.31e-09
GTSE1	1.09e-25
KLHL7	1.59e-19
AP1S1	2.01e-15
COMP	8.22e-05
FLAD1	1.32e-30
CNTNAP2	2.5e-11
CENPA	2.68e-27
PSMG3	2.58e-22
RUVBL1	1.12e-19
CEP72	9.43e-23
BRCA1	9.16e-27
E2F7	5.25e-21
SRPK1	4.82e-32
POPDC3	1.96e-08
ADH7	5.8e-05
TMEM79	1.05e-19
ASUN	4.89e-21
RRM1	3.29e-23
TET1	1.48e-13
TNFRSF17	0.0024954
DARS2	3.67e-22
JUP	1.79e-14
PPIL1	1.36e-24
ANP32E	1.65e-15
MGME1	3.99e-18
TSPAN6	6.41e-13
ORC1	4.29e-27
CYP4F11	6.38e-06
SLC1A4	8.89e-17
NUDT11	7.67e-09
PMS2P5	3.95e-16
WDHD1	3.34e-24
LRRC15	1.21e-12
MATR3	7.09e-12
DDX39A	6.83e-22
SLC16A1	1.1e-09
ILF2	5.53e-22
RPA3	1.19e-23
TNFSF4	3.09e-13
NECTIN4	2.77e-14
MRGBP	1.7e-25
SLC16A9	1.22e-06
TUBB	3.27e-20
RECQL4	7.37e-30
SYT13	3.01e-10
hspe1	1.14e-22
PDIA4	1.05e-19
RHCG	1.63e-06
LSR	1.11e-10
TTLL12	1.61e-22
MEST	7.63e-09
H2BFS	2.98e-12
XPO5	1.64e-27
LOX	1.29e-08
ABCC5	8.28e-11
PUS7	6.7e-15
XPO1	1.27e-21
PAX9	4.34e-13
GINS3	1.2e-19
ALG3	1.8e-24
HYLS1	3.07e-16
MTCL1	5.86e-09
mrpl36	7e-30
FOXO6	2.68e-17
EPRS	4.47e-28
SLAMF7	3.36e-05
mthfd2	3.66e-18
CDK4	3.62e-27
MYO19	1.41e-28
TLCD1	4.45e-13
TSPAN5	6.2e-13
PARPBP	1.05e-22
KIAA0907	7.35e-24
ARTN	4.17e-14
CBX1	2.98e-24
DIEXF	1.24e-20
ETV4	5.9e-21
cemip	4.13e-12
PARP1	2.06e-25
GOLM1	9.52e-22
RSRC1	3.97e-18
GRHL3	1.11e-09
CDK16	2.58e-22
BTBD11	1.14e-10
MCM3	1.51e-17
PPIF	4.61e-11
TIMELESS	1.61e-28
COL9A3	1.11e-08
ERFE	1.85e-11
PRMT3	4.99e-14
CSE1L	2.62e-22
RAD51	9.39e-30
LAMP5	6.35e-09
CHRNA5	2.48e-10
LARGE2	7.67e-22
DLX5	8.98e-10
BARX1	1.69e-09
CYP27B1	2.02e-10
PTGR1	7.5e-08
CHTF18	1.22e-21
FBL	5.07e-18
CEACAM5	2.26e-05
INTS8	1.2e-20
DCTPP1	1.9e-24
LRP8	1.58e-12
SRM	2.62e-15
UQCC3	1.25e-18
NEIL3	8.81e-22
ALDOA	2.45e-20
PRKDC	2.83e-19
CXCL10	0.0016306
CHAF1B	6.92e-26
B4GALT4	6.45e-17
H1F0	5.16e-16
DSCC1	6.15e-27
GTF2IRD1	5.68e-24
SLC9A3R1	6.83e-10
IVL	7.26e-07
SFRP2	0.0025392
NANOS1	1.22e-08
SFRP4	0.00047153
PIGX	3.84e-15
mark1	4.73e-11
FMO1	1.13e-05
MPP6	8.11e-19
KLHL13	0.00011719
PDIA6	2.08e-22
DMRTA2	1.83e-13
UPK1B	0.00022822
MMP7	0.00027742
SLCO1B3	3.37e-06
SKA1	8.4e-22
MFN1	3.58e-17
PHGDH	3.08e-09
Cyc1	2.25e-18
KRT8	1.89e-07
CPNE5	1.36e-06
EME1	2.54e-20
ENC1	6.18e-11
RCC1	8.53e-20
HOOK1	2.96e-11
SIX4	2.25e-20
SLC39A6	3.54e-14
DKK1	0.0043624
MYL6B	1.23e-19
PSMD2	1.84e-19
SKA3	1.03e-23
FAM162A	6.88e-18
NABP2	1.72e-21
ZNF146	1.56e-15
RNF43	5.59e-11
igkc	3.19e-07
ATP11B	1.46e-14
GCLM	2.17e-07
BYSL	5.43e-17
MTFR1	8.82e-22
HIST2H2BE	9.65e-08
PHKA1	6.39e-19
PKM	7.26e-18
Hist1h4h	2.96e-13
BDH1	2.61e-22
MCM5	8.09e-15
pop7	3.08e-24
TFAP2A	1.9e-14
PLK4	1.24e-21
POLD2	3.41e-18
c16orf59	1.33e-30
GRHL1	1.41e-08
LYPLA1	2.8e-19
F12	6.07e-26
ZNF750	0.00014319
DDX11	3.91e-23
FANCL	2.1e-13
HIST3H2A	9.11e-25
vps72	8.27e-21
MRPS33	6.1e-22
MRPL17	5.16e-28
SLC5A6	4.47e-19
FAM220A	2.72e-22
MRPS10	2.98e-19
PGM2L1	1.16e-14
c17orf75	2.54e-17
B3GNT3	3.19e-16
PSENEN	2.82e-09
NCAPD3	3.16e-19
celsr3	4.47e-18
SERPINH1	1.37e-08
IGFBPL1	1.14e-08
CERS6	1.09e-22
KLK12	2.85e-05
DNM1	6.29e-10
STK39	1.39e-12
CPXM1	6.82e-06
FUT2	7.58e-15
NCBP2	1.28e-19
IPO4	2.72e-16
MTX2	1.85e-21
SERPINI1	6.66e-08
PRSS2	1.14e-08
PHF19	4.7e-16
AIMP2	2.6e-21
MMP14	1.96e-13
SNRPB	1.01e-18
TPBG	3.83e-15
CREB3L4	3.22e-10
pkmyt1	2.72e-29
GEMIN2	9.49e-17
EPHB3	1.88e-17
CCT6A	1.42e-19
PKP3	9.23e-19
FKBP10	4.56e-07
SEC61G	5.47e-19
CD19	1.44e-06
MARVELD3	2.43e-20
SLC4A11	1.07e-13
GNPNAT1	2.89e-16
ADAM23	9.62e-07
c12orf73	8.45e-18
SOX11	1.34e-05
SEC61A1	1.54e-14
SERPINE2	2.83e-13
RHNO1	2.01e-17
PLA2G2D	2.51e-07
VCAN	5.23e-07
MAGED1	8.94e-21
