"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"BP"	"GO:1901653"	"cellular response to peptide"	"70/982"	"391/18862"	5.67339163827653e-20	3.16348317750299e-16	1.91462037813837e-16	"GJB2/CCNA2/CDC6/BRIP1/RAB15/EPRS1/TREM2/TIMELESS/PIP4K2C/PIK3R2/TP53/SHC1/ZBTB7B/OGT/SNX6/AKT1/ADIPOR1/TSC2/PRLR/SRC/GRM5/HDAC5/STAT5B/FOXO4/ATP6V1E1/ADCY8/FER/CPS1/BAIAP2/SP1/NFKB1/RIPK2/ADCY3/STAT6/IGF1R/APPL1/STAT5A/GKAP1/CRK/PIK3R3/SIRT1/PIP4K2A/PIK3CA/INPP5K/IRS2/NR4A1/PIK3R1/GAB1/CFLAR/KLF11/FOXO1/PDE3B/KAT2B/KLF10/PRKAR2B/GJA1/TLR4/IL1B/FYN/PPARG/RAB8B/ICAM1/ID1/NR4A3/GHR/ADRB2/KL/SOCS2/CAV2/CAV1"	70
"BP"	"GO:0006367"	"transcription initiation from RNA polymerase II promoter"	"46/982"	"187/18862"	3.93071816737529e-19	1.09588422506423e-15	6.63256970768693e-16	"SOX9/E2F3/VDR/MNAT1/GTF2H4/CDK7/RUNX2/TP53/TAF2/PSMC4/PSMC6/PSMC5/CBFB/ERCC2/ESRRG/ESRRA/NPPA/GTF2E1/HNF4A/GTF2A1/TAF1/CREBBP/THRA/TBP/CDK9/GTF2H1/HMGB1/CCNH/RXRA/GTF2A2/NR1H2/GTF2B/GTF2H5/HEY2/NRBF2/RORA/NR4A1/PPM1D/THRB/PPARGC1A/NR5A2/KAT2B/NR2F1/CCN2/PPARG/NR4A3"	46
"BP"	"GO:0051348"	"negative regulation of transferase activity"	"58/982"	"296/18862"	1.18902359829976e-18	2.20999852803983e-15	1.33754724777159e-15	"SFN/SFRP2/MAD2L1/HSPB1/TRIM27/CDKN2C/GPS1/PARK7/HEXIM2/DUSP9/PIP4K2C/LAX1/TP53/SNX6/AKT1/IBTK/NPPA/DVL1/TSC2/CAMK2N2/SRC/PPIA/SFRP1/PTPRT/PTPN6/DUSP22/TRIB2/RGS3/FBXO7/DUSP7/DUSP3/IGF1R/HEXIM1/SIRT1/PIP4K2A/RGN/INPP5K/PPP2CA/NR2F2/IRS2/SPRY4/DUSP2/SH2B3/IRAK3/KAT2B/PTPRC/PRKAR2B/HYAL2/IL1B/PPARG/SH3BP5/CAMK2N1/DUSP1/RASIP1/TNFAIP3/ZFP36/PTPRB/CAV1"	58
"BP"	"GO:0002683"	"negative regulation of immune system process"	"68/982"	"403/18862"	5.15022238271819e-18	7.17941000150916e-15	4.34516130499856e-15	"MMP12/SOX9/DPP4/SOX11/IL2RA/TRIM27/MAD1L1/LAX1/HSPA9/ZBTB7B/C1QBP/PRDX2/DLG5/PSMA1/CBFB/AKT1/ZFPM1/IL27RA/TRAFD1/IL31RA/BLK/SPN/SFRP1/FER/HOXA7/LYAR/PTPN6/HMGB1/NR1H2/AXL/FBXO7/DUSP3/CD59/MAFB/APPL1/CRK/LAPTM5/NDFIP1/IL4R/BTK/TGFB2/TLR3/GATA2/PLCL2/RUNX3/PIK3R1/CEBPB/PAG1/TSC22D3/BCL6/CD55/IRAK3/TYROBP/CD300LF/FSTL3/PTPRC/TLR4/CXCL12/PPARG/LILRB2/DUSP1/TNFAIP3/MYC/KLRD1/IL7R/IL1RL1/ANGPT1/IL33"	68
"BP"	"GO:0071900"	"regulation of protein serine/threonine kinase activity"	"76/982"	"492/18862"	9.88598593464207e-18	1.10248515143128e-14	6.6725201908342e-15	"SFN/EZH2/SFRP2/CCNA2/CDC6/MST1R/MST1/DBF4/HSPB1/CDKN2C/GPS1/MNAT1/HEXIM2/DUSP9/CDC25C/CDK7/LAX1/SHC1/PRDX2/AKT1/TP73/NPPA/RET/DAXX/TLR9/IKBKG/MTCP1/SRC/PPIA/CCNB2/SFRP1/TRAF6/MAPK11/NTRK3/CD40/CD81/PTPN6/GTF2H1/PEA15/CCNH/TRIB2/RGS3/TIAM1/RIPK2/FBXO7/DUSP7/MAPK1/CCNA1/DUSP3/IGF1R/ADAM17/HEXIM1/SIRT1/INPP5K/PPP2CA/NR2F2/PKD2/SPRY4/DUSP2/SH2B3/IRAK3/KAT2B/KIT/PTPRC/IGFBP6/PRKAR2B/HYAL2/TLR4/IL1B/DUSP1/RASIP1/ARRB1/TNFAIP3/GHR/ADRB2/CAV1"	76
"BP"	"GO:0033673"	"negative regulation of kinase activity"	"53/982"	"267/18862"	2.0988856281482e-17	1.56788856716674e-14	9.48925988510263e-15	"SFN/SFRP2/HSPB1/TRIM27/CDKN2C/GPS1/PARK7/HEXIM2/DUSP9/PIP4K2C/LAX1/SNX6/AKT1/IBTK/NPPA/DVL1/TSC2/CAMK2N2/PPIA/SFRP1/PTPRT/PTPN6/DUSP22/TRIB2/RGS3/FBXO7/DUSP7/DUSP3/IGF1R/HEXIM1/SIRT1/PIP4K2A/RGN/INPP5K/PPP2CA/NR2F2/IRS2/SPRY4/DUSP2/SH2B3/IRAK3/KAT2B/PTPRC/PRKAR2B/HYAL2/IL1B/SH3BP5/CAMK2N1/DUSP1/RASIP1/TNFAIP3/PTPRB/CAV1"	53
"BP"	"GO:0006352"	"DNA-templated transcription, initiation"	"51/982"	"249/18862"	2.13990719701244e-17	1.56788856716674e-14	9.48925988510263e-15	"SOX9/E2F3/VDR/MNAT1/GTF2H4/SMARCA4/CDK7/RUNX2/TP53/TAF2/PSMC4/PSMC6/SMARCB1/PSMC5/CBFB/ERCC2/ESRRG/ESRRA/NPPA/GTF2E1/HNF4A/GTF2A1/TAF1/BRF2/CREBBP/THRA/TBP/CDK9/GTF2H1/HMGB1/CCNH/RXRA/GTF2A2/NR1H2/GTF2B/GTF2H5/HEY2/NRBF2/RORA/NR4A1/PPM1D/THRB/PPARGC1A/NR5A2/JUN/KAT2B/NR2F1/CCN2/PPARG/CAVIN1/NR4A3"	51
"BP"	"GO:0043434"	"response to peptide hormone"	"70/982"	"435/18862"	2.24948144500249e-17	1.56788856716674e-14	9.48925988510263e-15	"GJB2/CCNA2/CDC6/BRIP1/RAB15/EPRS1/PIP4K2C/PIK3R2/SHC1/ZBTB7B/OGT/EIF2B3/CAD/AKT1/ADIPOR1/RBBP4/PHB/TSC2/PRLR/SRC/PTPRN/HDAC5/STAT5B/FOXO4/ATP6V1E1/ADCY8/FER/CPS1/BAIAP2/SP1/NFKB1/ADCY3/STAT6/IGF1R/APPL1/STAT5A/GKAP1/CRK/PIK3R3/SIRT1/PIP4K2A/STC2/PIK3CA/INPP5K/CRY1/IRS2/NR4A1/PIK3R1/GAB1/CFLAR/FOXO1/PDE3B/KAT2B/PRKAR2B/GJA1/CXCL12/CCN2/IL1B/FYN/PPARG/RAB8B/ICAM1/TEK/NR4A3/GHR/TGFBR3/KL/SOCS2/CAV2/CAV1"	70
"BP"	"GO:0006469"	"negative regulation of protein kinase activity"	"50/982"	"243/18862"	3.62836147961053e-17	2.24797151225648e-14	1.36052946241302e-14	"SFN/SFRP2/HSPB1/TRIM27/CDKN2C/GPS1/PARK7/HEXIM2/DUSP9/LAX1/SNX6/AKT1/IBTK/NPPA/DVL1/TSC2/CAMK2N2/PPIA/SFRP1/PTPRT/PTPN6/DUSP22/TRIB2/RGS3/FBXO7/DUSP7/DUSP3/IGF1R/HEXIM1/SIRT1/RGN/INPP5K/PPP2CA/NR2F2/SPRY4/DUSP2/SH2B3/IRAK3/KAT2B/PTPRC/PRKAR2B/HYAL2/IL1B/SH3BP5/CAMK2N1/DUSP1/RASIP1/TNFAIP3/PTPRB/CAV1"	50
"BP"	"GO:0030522"	"intracellular receptor signaling pathway"	"53/982"	"274/18862"	6.7848477234104e-17	3.78323109057364e-14	2.28970755802671e-14	"EZH2/HDAC1/PMEPA1/TRIM24/VDR/PARK7/BRCA1/SMARCA4/C1QBP/CBFB/ESRRG/TP63/ESRRA/PHB/DAXX/HDAC6/IKBKG/HNF4A/SRC/THRA/SFRP1/TRAF6/WBP2/PIAS2/TMF1/NCOR1/BIRC2/RXRA/PRMT2/NR1H2/RIPK2/CRY2/RORA/SIRT1/CYLD/FOXP1/CRY1/NR2F2/PPARGC1B/NR4A1/CALCOCO1/DDX5/THRB/NCOA1/NR5A2/NEDD4/CITED2/NR2F1/TLR4/PPARG/TNFAIP3/NR4A3/TCF21"	53
